indice_metronomo,tiempo_metronomo,amplitud_tambor,indice_tambor,tiempo_tambor,diferencia,repetido,sin_asignacion,frecuencia,audio
206,114.95725,0.194435,216,114.844125,-0.11312499999999659,0,0,6,1
206,114.95725,0.30347317,217,115.087625,-0.1303750000000008,1,0,6,1
207,115.299375,0.24249786,218,115.350625,0.05124999999999602,0,0,6,1
208,115.639,0.27482608,219,115.591625,-0.04737500000000239,0,0,6,1
209,115.970375,0.123199955,220,115.844,-0.12637500000001012,0,0,6,1
209,115.970375,0.20296036,221,116.13025,-0.15987499999999955,1,0,6,1
210,116.322125,0.1842046,222,116.35275,0.03062500000000057,0,0,6,1
211,116.66175,0.27076188,223,116.576125,-0.08562499999999318,0,0,6,1
0,5.98275,0.1522327,0,6.0425,0.05975000000000019,0,0,1,2
1,6.973125,0.15556936,1,7.009375,0.03625000000000078,0,0,1,2
2,7.973125,0.07977251,2,8.043625,0.0705000000000009,0,0,1,2
3,8.98275,0.14517505,3,8.988875,0.006125000000000824,0,0,1,2
4,9.98275,0.12741804,4,9.939875,-0.042874999999998664,0,0,1,2
5,10.99025,0.19815084,5,10.956375,-0.0338750000000001,0,0,1,2
6,11.969375,0.21787703,6,11.97275,0.003375000000000128,0,0,1,2
7,12.98275,0.17361873,7,12.9505,-0.032249999999999446,0,0,1,2
8,13.98775,0.17874503,8,13.931,-0.056750000000000966,0,0,1,2
9,14.98275,0.22514658,9,14.96275,-0.019999999999999574,0,0,1,2
10,15.98275,0.19098796,10,15.964125,-0.018625000000000114,0,0,1,2
11,16.984,0.19999988,11,16.961,-0.02300000000000324,0,0,1,2
12,17.98525,0.14640781,12,17.9975,0.012249999999998096,0,0,1,2
13,18.98525,0.2680989,13,18.959125,-0.026125000000000398,0,0,1,2
14,19.984,0.2693332,14,19.940125,-0.04387500000000344,0,0,1,2
15,20.984,0.20503186,15,20.93125,-0.05275000000000318,0,0,1,2
16,21.97325,0.19177291,16,22.004,0.030750000000001165,0,0,1,2
17,22.984,0.24018908,17,22.927125,-0.05687500000000156,0,0,1,2
18,23.984,0.22364572,18,23.934625,-0.04937500000000128,0,0,1,2
19,24.98525,0.26993394,19,24.94975,-0.03549999999999898,0,0,1,2
20,25.984,0.16325964,20,25.955125,-0.02887500000000287,0,0,1,2
21,26.97325,0.19804554,21,26.95375,-0.01950000000000074,0,0,1,2
22,27.98275,0.21057115,22,28.00075,0.018000000000000682,0,0,1,2
23,28.98275,0.2608055,23,28.95675,-0.0259999999999998,0,0,1,2
24,29.98275,0.15507367,24,29.93125,-0.05150000000000077,0,0,1,2
25,30.989125,0.23969463,25,30.945875,-0.043250000000000455,0,0,1,2
26,31.9745,0.20689335,26,31.9475,-0.02699999999999747,0,0,1,2
27,32.987875,0.1785205,27,32.971125,-0.01675000000000182,0,0,1,2
28,33.97075,0.24376191,28,33.971125,0.00037499999999823785,0,0,1,2
29,34.98525,0.15818399,29,34.969875,-0.015374999999998806,0,0,1,2
30,35.98275,0.1859503,30,35.99175,0.009000000000000341,0,0,1,2
31,36.9695,0.24639308,31,36.9725,0.0030000000000001137,0,0,1,2
32,37.981625,0.25008035,32,37.96,-0.021625000000000227,0,0,1,2
33,39.00175,0.17893347,33,39.031125,0.029375000000001705,0,0,1,2
34,39.97325,0.17460686,34,39.978375,0.005124999999999602,0,0,1,2
35,40.759625,0.24606264,35,40.940875,0.18124999999999858,0,0,2,2
36,41.52125,0.27245077,36,41.57,0.048749999999998295,0,0,2,2
37,42.2905,0.32130718,37,42.195875,-0.09462500000000063,0,0,2,2
38,43.05975,0.2511127,38,42.98775,-0.07200000000000273,0,0,2,2
39,43.829,0.29752257,39,43.7765,-0.05250000000000199,0,0,2,2
40,44.60325,0.24464746,40,44.562375,-0.04087499999999977,0,0,2,2
41,45.416125,0.28426522,41,45.3315,-0.08462500000000261,0,0,2,2
42,46.13925,0.2226393,42,46.118875,-0.02037499999999426,0,0,2,2
43,46.91475,0.14522748,43,46.931375,0.016625000000004775,0,0,2,2
44,47.675125,0.10272566,44,47.709375,0.034250000000000114,0,0,2,2
45,48.445625,0.1387907,45,48.44525,-0.00037499999999823785,0,0,2,2
46,49.216125,0.22875792,46,49.211625,-0.0045000000000001705,0,0,2,2
47,49.984125,0.19704916,47,49.924875,-0.05924999999999869,0,0,2,2
48,50.7425,0.15346697,48,50.699375,-0.043124999999996305,0,0,2,2
49,51.523875,0.12949549,49,51.51025,-0.013624999999997556,0,0,2,2
50,52.295625,0.35005993,50,52.24825,-0.04737500000000239,0,0,2,2
51,53.067375,0.21137081,51,53.0415,-0.025874999999999204,0,0,2,2
52,53.81825,0.21924064,52,53.796875,-0.021374999999999034,0,0,2,2
53,54.5995,0.20398054,53,54.566125,-0.03337499999999949,0,0,2,2
54,55.3675,0.335338,54,55.332,-0.03549999999999898,0,0,2,2
55,56.13675,0.24396697,55,56.143125,0.006374999999998465,0,0,2,2
56,56.9085,0.29058093,56,56.9545,0.04600000000000648,0,0,2,2
57,57.663125,0.32409987,57,57.648875,-0.014250000000004093,0,0,2,2
58,58.434875,0.26214522,58,58.43775,0.0028750000000030695,0,0,2,2
59,59.204125,0.29246318,59,59.192125,-0.012000000000000455,0,0,2,2
60,60.001875,0.25365877,60,59.974,-0.02787500000000165,0,0,2,2
61,60.753375,0.380097,61,60.6925,-0.060874999999995794,0,0,2,2
62,61.523875,0.19332083,62,61.53975,0.015875000000001194,0,0,2,2
63,62.290625,0.20189688,63,62.321625,0.030999999999998806,0,0,2,2
64,63.061125,0.26646382,64,63.041,-0.02012500000000017,0,0,2,2
65,63.8195,0.20447767,65,63.874625,0.055125000000003865,0,0,2,2
66,64.58875,0.25652272,66,64.558,-0.030749999999997613,0,0,2,2
67,65.3675,0.24550313,67,65.292875,-0.07462500000001171,0,0,2,2
68,66.13925,0.25857782,68,66.07325,-0.0660000000000025,0,0,2,2
69,66.90725,0.23992842,69,66.917875,0.010624999999990337,0,0,2,2
70,67.6765,0.2388212,70,67.67625,-0.00025000000000829914,0,0,2,2
71,68.44575,0.2034387,71,68.407875,-0.03787499999999966,0,0,2,2
72,69.21375,0.17209807,72,69.16475,-0.049000000000006594,0,0,2,2
73,70.000625,0.16580312,73,69.953,-0.047624999999996476,0,0,2,2
74,70.752125,0.3057332,74,70.752125,0.0,0,0,2,2
75,71.521375,0.2615399,75,71.478875,-0.04250000000000398,0,0,2,2
76,72.290625,0.16539107,76,72.232375,-0.05825000000000102,0,0,2,2
77,73.062375,0.31561214,77,73.028375,-0.034000000000006025,0,0,2,2
78,73.831625,0.17936817,78,73.842625,0.01099999999999568,0,0,2,2
79,74.58875,0.22260633,79,74.59425,0.00549999999999784,0,0,2,2
80,75.35675,0.22858733,80,75.404875,0.04812499999999886,0,0,2,2
81,76.126,0.27779567,81,76.129625,0.0036249999999995453,0,0,2,2
82,76.9085,0.15725893,82,76.879,-0.02949999999999875,0,0,2,2
83,77.67525,0.20306477,83,77.719,0.04374999999998863,0,0,2,2
84,78.447,0.20886001,84,78.412875,-0.03412500000000307,0,0,2,2
85,79.202875,0.33535856,85,79.207875,0.0049999999999954525,0,0,2,2
86,79.9855,0.20790416,86,79.9545,-0.03100000000000591,0,0,2,2
87,80.74975,0.16373219,87,80.693625,-0.05612500000000864,0,0,2,2
88,81.511875,0.20021369,88,81.539125,0.02724999999999511,0,0,2,2
89,82.290625,0.17593326,89,82.266,-0.02462500000000034,0,0,2,2
90,83.061125,0.23121989,90,83.00425,-0.056875000000005116,0,0,2,2
91,83.819625,0.14050695,91,83.79825,-0.02137500000000614,0,0,2,2
92,84.599625,0.25089142,92,84.599375,-0.00025000000000829914,0,0,2,2
93,85.35675,0.23574534,93,85.3595,0.0027499999999918145,0,0,2,2
94,86.136875,0.14577201,94,86.103125,-0.033749999999997726,0,0,2,2
95,86.906,0.21784578,95,86.855875,-0.05012500000000841,0,0,2,2
96,87.66575,0.19049495,96,87.65275,-0.01300000000000523,0,0,2,2
97,88.4445,0.16038641,97,88.360125,-0.08437500000000853,0,0,2,2
98,89.21625,0.24283184,98,89.145625,-0.07062500000000682,0,0,2,2
99,89.9855,0.32730183,99,89.95,-0.03549999999999898,0,0,2,2
100,90.75225,0.2673638,100,90.712375,-0.03987500000000921,0,0,2,2
101,91.524,0.2253539,101,91.471625,-0.05237499999999784,0,0,2,2
102,92.592625,0.23185422,102,92.238125,-0.3545000000000016,0,0,2,2
103,93.359375,0.2445566,103,93.04625,-0.31312499999999943,0,0,2,2
104,94.11775,0.15516746,104,93.958,-0.1597500000000025,0,0,2,2
105,94.90025,0.18048346,105,94.979625,0.07937499999999886,0,0,2,2
106,95.667,0.24351627,106,95.695375,0.02837499999999693,0,0,2,2
107,96.42675,0.24007146,107,96.43375,0.007000000000005002,0,0,2,2
108,97.196,0.3104014,108,97.19925,0.003250000000008413,0,0,2,2
109,97.97475,0.30050948,109,97.959875,-0.014875000000003524,0,0,2,2
110,98.74525,0.30003375,110,98.714,-0.03125,0,0,2,2
111,99.51825,0.2236169,111,99.4665,-0.05174999999999841,0,0,2,2
112,100.282375,0.19915082,112,100.2355,-0.046875,0,0,2,2
113,101.038625,0.25484988,113,101.038875,0.00025000000000829914,0,0,2,2
114,101.820875,0.20644914,114,101.846875,0.02599999999999625,0,0,2,2
115,102.590125,0.24474402,115,102.6325,0.042374999999992724,0,0,2,2
116,103.3485,0.24932736,116,103.36025,0.011749999999992156,0,0,2,2
117,104.11775,0.13064194,117,104.157875,0.0401250000000033,0,0,2,2
118,104.88825,0.33089238,118,104.94675,0.05849999999999511,0,0,2,2
119,105.667,0.2685822,119,105.7235,0.05649999999999977,0,0,2,2
120,106.445125,0.20412989,120,106.41925,-0.025874999999999204,0,0,2,2
121,107.196,0.22810684,121,107.2015,0.00549999999999784,0,0,2,2
122,107.9745,0.20578341,122,107.974125,-0.0003750000000053433,0,0,2,2
123,108.74275,0.28145233,123,108.743,0.0002499999999940883,0,0,2,2
124,109.51325,0.18070297,124,109.544125,0.030874999999994657,0,0,2,2
125,110.285,0.23267871,125,110.32675,0.0417500000000075,0,0,2,2
126,111.05175,0.22389379,126,111.077,0.025249999999999773,0,0,2,2
127,111.820875,0.16833703,127,111.8285,0.007625000000004434,0,0,2,2
128,112.60025,0.35996002,128,112.60025,0.0,0,0,2,2
129,113.361875,0.27995464,129,113.336,-0.025874999999999204,0,0,2,2
130,114.129875,0.41578028,130,114.1075,-0.022374999999996703,0,0,2,2
131,114.89075,0.17182729,131,114.89125,0.0005000000000023874,0,0,2,2
132,115.668375,0.21721666,132,115.626,-0.042374999999992724,0,0,2,2
133,116.436375,0.31155512,133,116.447625,0.011250000000003979,0,0,2,2
134,117.211875,0.24224652,134,117.269375,0.05749999999999034,0,0,2,2
135,117.97325,0.19031024,135,117.973,-0.0002499999999940883,0,0,2,2
136,118.751625,0.24436492,136,118.7085,-0.04312500000000341,0,0,2,2
137,119.50375,0.33632013,137,119.54075,0.03700000000000614,0,0,2,2
138,120.273,0.27808815,138,120.27625,0.003250000000008413,0,0,2,2
139,121.201625,0.29279667,139,121.06225,-0.13937500000000114,0,0,2,2
140,121.970875,0.19741625,140,121.87625,-0.09462500000000773,0,0,2,2
141,122.730625,0.30038178,141,122.72125,-0.009375000000005684,0,0,2,2
142,123.509375,0.13545808,142,123.582125,0.0727499999999992,0,0,2,2
143,124.269,0.24227147,143,124.274375,0.005375000000000796,0,0,2,2
144,125.047875,0.058701813,144,125.10675,0.058875000000000455,0,0,2,2
145,125.84525,0.1751433,145,125.898125,0.05287500000000023,0,0,2,2
146,126.573,0.25465706,146,126.579125,0.006125000000011482,0,0,2,2
147,127.358,0.28814724,147,127.37475,0.01675000000000182,0,0,2,2
148,128.1165,0.22108959,148,128.103,-0.013499999999993406,0,0,2,2
149,128.894,0.09943105,149,128.837,-0.05700000000001637,0,0,2,2
150,129.6645,0.39322242,150,129.614375,-0.05012500000000841,0,0,2,2
151,130.4325,0.3637003,151,130.359,-0.07349999999999568,0,0,2,2
152,131.20425,0.35435262,152,131.13625,-0.06800000000001205,0,0,2,2
153,131.97975,0.26711398,153,131.8895,-0.0902499999999975,0,0,2,2
154,132.740125,0.33489773,154,132.622875,-0.11725000000001273,0,0,2,2
155,133.509375,0.18560944,155,133.386,-0.12337500000001,0,0,2,2
156,134.278625,0.31016126,156,134.171125,-0.10750000000001592,0,0,2,2
157,135.050375,0.25207207,157,134.870875,-0.17949999999999022,0,0,2,2
158,135.819625,0.28330436,158,135.615,-0.20462499999999295,0,0,2,2
159,136.407375,0.30547577,159,136.4105,0.0031250000000113687,0,0,2,2
160,137.355625,0.3492772,160,137.1795,-0.1761250000000132,0,0,2,2
161,138.114,0.3072313,161,137.8975,-0.21649999999999636,0,0,2,2
162,138.901625,0.29479194,162,138.7805,-0.12112500000000637,0,0,2,2
163,139.65375,0.29897803,163,139.451,-0.20275000000000887,0,0,2,2
164,140.423,0.2807626,164,140.2195,-0.20349999999999113,0,0,2,2
165,141.20175,0.27484402,165,140.939,-0.26275000000001114,0,0,2,2
166,141.971,0.29799876,166,141.635875,-0.335125000000005,0,0,2,2
167,142.749,0.3053679,167,142.46575,-0.28324999999998113,0,0,2,2
168,143.34325,0.34851253,168,143.346375,0.003124999999982947,0,0,2,2
169,144.304125,0.24016108,169,144.033125,-0.2709999999999866,0,0,2,2
170,145.047875,0.23308009,170,144.818375,-0.2295000000000016,0,0,2,2
171,145.817125,0.30297443,171,145.525875,-0.2912499999999909,0,0,2,2
172,146.586375,0.2188938,172,146.259375,-0.3269999999999982,0,0,2,2
173,147.358125,0.2500923,173,147.0275,-0.3306249999999977,0,0,2,2
174,148.124875,0.26401204,174,147.886875,-0.23799999999999955,0,0,2,2
175,148.895375,0.22401719,175,148.62475,-0.27062499999999545,0,0,2,2
176,149.779625,0.2674378,176,149.375875,0.4037500000000023,1,0,2,2
176,149.779625,0.2908506,177,150.149125,0.36949999999998795,0,0,2,2
177,150.548875,,,,,0,1,2,2
178,151.319375,0.25868773,178,151.025625,-0.29375000000001705,0,0,2,2
179,152.087375,0.26713425,179,151.814875,-0.27250000000000796,0,0,2,2
180,152.856625,0.31691512,180,152.494,-0.3626250000000084,0,0,2,2
181,153.62575,0.22931138,181,153.225125,-0.4006250000000193,0,0,2,2
182,154.395,0.25554186,182,154.076625,-0.3183750000000032,0,0,2,2
183,155.16425,0.21556462,183,154.857125,-0.3071250000000134,0,0,2,2
184,155.9335,0.28353828,184,155.5665,-0.36700000000001864,0,0,2,2
185,156.70275,0.34994465,185,156.390375,-0.31237500000000296,0,0,2,2
186,157.4745,0.30491716,186,157.185375,-0.28912500000001273,0,0,2,2
187,158.24375,0.41578564,187,157.89975,-0.3439999999999941,0,0,2,2
188,159.010375,0.4198014,188,158.693875,-0.3165000000000191,0,0,2,2
189,159.779625,0.4468301,189,159.487875,-0.2917500000000075,0,0,2,2
190,160.548875,0.40219355,190,160.255,-0.2938750000000141,0,0,2,2
191,161.028375,0.3335826,191,161.0315,0.003124999999982947,0,0,2,2
192,162.087375,0.25281742,192,161.808,-0.2793750000000159,0,0,2,2
193,162.856625,0.5084356,193,162.58625,-0.27037500000000136,0,0,2,2
194,163.633375,0.288784,194,163.3795,-0.25387499999999363,0,0,2,2
195,164.395,0.41896522,195,164.10925,-0.2857500000000073,0,0,2,2
196,165.16425,0.35923582,196,164.92575,-0.23850000000001614,0,0,2,2
197,165.9335,0.42175606,197,165.646625,-0.2868750000000091,0,0,2,2
198,166.70525,0.34517667,198,166.45175,-0.2535000000000025,0,0,2,2
199,167.4745,0.17247817,199,167.24325,-0.23125000000001705,0,0,2,2
200,168.24375,0.28353423,200,168.104125,-0.13962499999999523,0,0,2,2
201,169.037125,0.38270578,201,168.786625,-0.2505000000000166,0,0,2,2
202,169.7885,0.25698543,202,169.551375,-0.23712499999999181,0,0,2,2
203,170.5565,0.32693592,203,170.347875,-0.20862500000001205,0,0,2,2
204,171.318125,0.27577865,204,171.053,-0.2651250000000118,0,0,2,2
205,172.09625,0.23001927,205,171.855,-0.24125000000000796,0,0,2,2
206,172.859125,0.35561782,206,172.5635,-0.29562500000000114,0,0,2,2
207,173.625875,0.3518771,207,173.3025,-0.32337499999999864,0,0,2,2
208,174.395125,0.22491838,208,174.135875,-0.25925000000000864,0,0,2,2
208,174.395125,0.29724747,209,174.883625,-0.4884999999999877,1,0,2,2
